,0
0,2018-12-19T20:48:28.000Z
1,2018-12-19T21:50:05.000Z
2,2018-12-19T05:44:47.000Z
3,2018-12-19T19:31:01.000Z
4,2018-12-19T19:43:06.000Z
5,2018-12-17T18:28:32.000Z
6,2018-12-19T16:22:56.000Z
7,2018-12-18T20:33:39.000Z
8,2018-12-19T11:30:00.000Z
9,2018-12-18T16:34:52.000Z
10,2018-12-19T05:38:43.000Z
11,2018-12-18T18:49:45.000Z
12,2018-12-18T09:36:02.000Z
13,2018-12-19T20:38:41.000Z
14,2018-12-18T06:34:06.000Z
15,2018-12-17T23:29:30.000Z
16,2018-12-19T01:34:57.000Z
17,2018-12-18T05:00:02.000Z
18,2018-12-19T05:00:03.000Z
19,2018-12-17T19:49:28.000Z
20,2018-12-17T18:59:17.000Z
21,2018-12-19T19:22:38.000Z
22,2018-12-18T09:17:14.000Z
23,2018-12-19T15:15:14.000Z
24,2018-12-17T12:00:06.000Z
25,2018-12-19T06:53:39.000Z
26,2018-12-18T22:36:31.000Z
27,2018-12-17T00:00:01.000Z
28,2018-12-19T01:58:17.000Z
29,2018-12-19T16:00:01.000Z
30,2018-12-19T02:49:45.000Z
31,2018-12-18T20:11:07.000Z
32,2018-12-18T20:50:27.000Z
33,2018-12-18T17:02:37.000Z
34,2018-12-17T19:16:50.000Z
35,2018-12-18T11:34:08.000Z
36,2018-12-18T22:12:52.000Z
37,2018-12-15T04:52:42.000Z
38,2018-12-18T22:32:07.000Z
39,2018-12-18T22:10:23.000Z
40,2018-12-18T14:58:47.000Z
41,2018-12-18T04:09:12.000Z
42,2018-12-18T11:20:27.000Z
43,2018-12-18T19:30:45.000Z
44,2018-12-19T16:28:18.000Z
45,2018-12-17T21:16:52.000Z
46,2018-12-15T13:25:45.000Z
47,2018-12-19T21:47:41.000Z
48,2018-12-17T20:57:03.000Z
49,2018-12-17T18:05:52.000Z
